what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms",1340830716793
started,bundle,com.android.ide.eclipse.traceview,18.0.0.v201203301601-306762,"com.android.ide.eclipse.traceview",1340830716977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340830723503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340830725662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340830825097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340830830916
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340830837733
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1340830837835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340830839944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340830840976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340830843460
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340830844803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340830846048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340830946215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340830948876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340831490146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340831492447
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340831496666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340831499897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340831504699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340831512676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340831513768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340831518308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340831588601
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340831635183
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340831636721
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340831649179
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1340831649536
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1340831649705
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1340831649706
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1340831649709
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1340831649717
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1340831649717
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1340831649718
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1340831649718
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1340831649718
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,18.0.0.v201203301601-306762,"overlay.com.android.ide.eclipse.adt.overlay",1340831649719
stopped,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1340831649719
stopped,bundle,org.eclipse.cdt,6.0.2.201002161416,"org.eclipse.cdt",1340831649719
stopped,bundle,org.eclipse.cdt.doc.user,5.1.0.201002161416,"org.eclipse.cdt.doc.user",1340831649721
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1340997202438
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1340997202439
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1340997202440
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1340997202440
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1340997202466
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1340997202466
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1340997202467
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1340997202581
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1340997202581
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1340997202582
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1340997202582
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1340997202606
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1340997202606
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1340997202606
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1340997202607
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1340997202607
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1340997202608
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1340997202629
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1340997202640
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1340997202641
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1340997202641
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1340997202641
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1340997202652
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1340997202652
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1340997202670
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1340997202679
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1340997202685
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1340997202686
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1340997202687
